DATE,UMCSENT
"Thursday, January 1, 1953",84.06666667
"Friday, January 1, 1954",83.96666667
"Saturday, January 1, 1955",98.23333333
"Sunday, January 1, 1956",99.43333333
"Tuesday, January 1, 1957",88.3
"Wednesday, January 1, 1958",83.4
"Thursday, January 1, 1959",94.55
"Friday, January 1, 1960",95.15
"Sunday, January 1, 1961",94.075
"Monday, January 1, 1962",95.475
"Tuesday, January 1, 1963",95.225
"Wednesday, January 1, 1964",99.625
"Friday, January 1, 1965",103.425
"Saturday, January 1, 1966",93.8
"Sunday, January 1, 1967",94.975
"Monday, January 1, 1968",93.425
"Wednesday, January 1, 1969",88.95
"Thursday, January 1, 1970",75.875
"Friday, January 1, 1971",80.6
"Saturday, January 1, 1972",91.825
"Monday, January 1, 1973",76.85
"Tuesday, January 1, 1974",64.45
"Wednesday, January 1, 1975",70.425
"Thursday, January 1, 1976",86.15
"Saturday, January 1, 1977",87.675
"Sunday, January 1, 1978",79.40833333
"Monday, January 1, 1979",66.025
"Tuesday, January 1, 1980",64.41666667
"Thursday, January 1, 1981",70.675
"Friday, January 1, 1982",67.975
"Saturday, January 1, 1983",87.38333333
"Sunday, January 1, 1984",97.475
"Tuesday, January 1, 1985",93.16666667
"Wednesday, January 1, 1986",94.79166667
"Thursday, January 1, 1987",90.64166667
"Friday, January 1, 1988",93.73333333
"Sunday, January 1, 1989",92.75833333
"Monday, January 1, 1990",81.61666667
"Tuesday, January 1, 1991",77.55
"Wednesday, January 1, 1992",77.25
"Friday, January 1, 1993",82.79166667
"Saturday, January 1, 1994",92.26666667
"Sunday, January 1, 1995",92.24166667
"Monday, January 1, 1996",93.60833333
"Wednesday, January 1, 1997",103.2166667
"Thursday, January 1, 1998",104.6166667
"Friday, January 1, 1999",105.825
"Saturday, January 1, 2000",107.575
"Monday, January 1, 2001",89.24166667
"Tuesday, January 1, 2002",89.58333333
"Wednesday, January 1, 2003",87.625
"Thursday, January 1, 2004",95.2
"Saturday, January 1, 2005",88.55
"Sunday, January 1, 2006",87.30833333
"Monday, January 1, 2007",85.58333333
"Tuesday, January 1, 2008",63.75
"Thursday, January 1, 2009",66.25833333
"Friday, January 1, 2010",71.84166667
"Saturday, January 1, 2011",67.35
"Sunday, January 1, 2012",76.54166667
"Tuesday, January 1, 2013",79.20833333
"Wednesday, January 1, 2014",84.125
"Thursday, January 1, 2015",92.94166667
"Friday, January 1, 2016",91.84166667
"Sunday, January 1, 2017",96.76666667
"Monday, January 1, 2018",98.36666667
"Tuesday, January 1, 2019",95.98333333
"Wednesday, January 1, 2020",81.54166667
"Friday, January 1, 2021",77.61666667
"Saturday, January 1, 2022",58.975
"Sunday, January 1, 2023",65.35